"","truseq","inlysate","purified_RNA","rand_truseq","rank","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"16433","LOC107986850","LOC105372633","LOC105373496","TRIML1",16433,14248,14227,14392,6947
"16434","LOC107986326","LOC105373873","MIR6835","MIR3661",16434,14248,14228,14392,6947
"16435","LOC107986870","LOC105374426","LOC105372976","LOC107984784",16435,14249,14229,14392,6948
"16436","KCNH4","LOC105374494","LOC105377578","LINC00709",16436,14249,14230,14393,6949
"16437","LOC105377911","LOC105376228","SH3TC2-DT","CNNM2",16437,14249,14230,14393,6951
"16438","LOC107987243","LOC105376380","SNORA16A","IKBKG",16438,14249,14231,14394,6952
"16439","ICAM2","LOC105377043","TSPAN7","H3C2",16439,14251,14232,14395,6953
"16440","LOC105378825","LOC105379301","GNRH2","PTPRQ",16440,14251,14232,14395,6954
"16441","GALNT3","LOC105379384","LINC02823","LOC105378801",16441,14252,14233,14396,6954
"16442","VAC14-AS1","LOC107984877","SFTPC","MIR5701-1",16442,14253,14233,14396,6954
"16443","APBA2","LOC107986094","TCAM1P","LOC105379308",16443,14253,14234,14396,6954
"16444","LOC105372462","LOC107986367","TTC41P","LOC107984478",16444,14254,14234,14397,6955
"16445","LOC105369699","LOC91548","LOC107986121","CD207",16445,14254,14234,14397,6955
"16446","LOC107985295","MIR1244-4","GSN-AS1","CERNA2",16446,14255,14235,14398,6955
"16447","TMEM74B","MYOC","DDX12P","INO80E",16447,14256,14237,14400,6957
"16448","SSTR2","OR2K2","CFB","LOC105369728",16448,14257,14238,14400,6957
"16449","LOC100129931","PABPC5-AS1","SLPI","PIM3",16449,14258,14238,14400,6959
"16450","NPIPB12","PLIN1","KRT75","LOC112267968",16450,14259,14239,14401,6959
"16451","BICDL1","RGS6","LINC02067","LOC102724593",16451,14259,14240,14401,6960
"16452","LINC01449","RIIAD1","NPIPB2","LOC105373095",16452,14260,14241,14402,6961
"16453","MIR4257","RNA45SN2","CTBP1-AS","LOC107985434",16453,14260,14242,14402,6961
"16454","PYGM","SBSPON","FAM85A","LINC00507",16454,14262,14243,14402,6962
"16455","TMC2","SLC22A9","GPR75","MIR5195",16455,14262,14244,14402,6962
"16456","COL4A6","SLIT2-IT1","LOC105376882","REXO2",16456,14262,14245,14402,6963
"16457","LOC105375835","SNORD21","LOC105377495","SUZ12P1",16457,14263,14245,14404,6964
"16458","GALNT9","SYCE2","LOC107984960","RHOBTB2",16458,14264,14245,14406,6966
"16459","LINC02256","LINC01600","MT1IP","LOC105379335",16459,14264,14245,14406,6967
"16460","LOC105370491","APOOP5","ZNF541","MIR4471",16460,14265,14246,14406,6968
"16461","OVOS","ARPP21","LINC01152","RIC3-DT",16461,14265,14246,14407,6968
"16462","LOC105371849","BOK-AS1","SMIM21","LOC101926913",16462,14266,14248,14407,6968
"16463","LOC105374063","CFB","SCN11A","PNPLA3",16463,14267,14248,14409,6970
"16464","CLVS1","CGA","LOC105373043","MROH1",16464,14267,14249,14409,6971
"16465","SPATA45","ENTPD1","CHGB","TUSC2",16465,14268,14250,14410,6973
"16466","H2BC13","FAM221B","PRDM16-DT","RRP1",16466,14268,14251,14411,6974
"16467","PPP1R16B","FGF22","ENKUR","PMCH",16467,14268,14251,14413,6975
"16468","ACADL","GEMIN7-AS1","DMRTA2","LOC105371288",16468,14268,14251,14413,6975
"16469","ACOT12","HYDIN2","DOCK8","LOC107986273",16469,14269,14252,14414,6976
"16470","AIPL1","LINC00954","PTK6","CCNE1",16470,14269,14252,14415,6977
"16471","AKR1C4","LINC01271","SNORD116-14","MYH7B",16471,14270,14252,14416,6978
"16472","ARHGEF9-IT1","LINC02432","XXYLT1-AS2","LOC105379403",16472,14270,14253,14417,6979
"16473","ARSF","LOC101928881","MAP3K15","FOXO3",16473,14270,14254,14418,6981
"16474","ASCL1","LOC102724135","SNORA73A","LOC101928487",16474,14272,14256,14419,6982
"16475","ATP4A","LOC102725082","CLDN22","CNTRL",16475,14272,14256,14419,6984
"16476","BEST2","LOC105369171","GRB7","MIR133A1HG",16476,14273,14256,14419,6985
"16477","BIRC7","LOC105369187","LINC01611","SENP5",16477,14273,14257,14421,6986
"16478","BMS1P22","LOC105371686","PRMT5-AS1","BIRC7",16478,14273,14257,14421,6988
"16479","BTBD9-AS1","LOC105372273","PYGM","LOC105378983",16479,14274,14258,14423,6989
"16480","C4orf51","LOC105374841","ZNF732","DACH1",16480,14275,14259,14423,6989
"16481","C8orf37-AS1","LOC105375924","LOC107984041","USP17L3",16481,14276,14259,14423,6990
"16482","CACNA2D1-AS1","LOC107986424","ITFG1-AS1","UBTD2",16482,14276,14259,14424,6992
"16483","CCL17","MEOX1","LOC105373823","LINC02262",16483,14277,14259,14424,6993
"16484","CELF3","MIRLET7A1","CR1L","MAD1L1",16484,14278,14260,14425,6994
"16485","CFAP100","OR51V1","RIMS4","ADAMTS3",16485,14278,14261,14426,6996
"16486","CGN","PACERR","LOC105376373","ORAI2",16486,14278,14261,14428,6998
"16487","CLEC18C","PANK4","INGX","LINC00622",16487,14279,14261,14428,6999
"16488","CTAGE8","PTGES2-AS1","KCNMB2-AS1","LOC101929643",16488,14280,14261,14428,7000
"16489","DAAM2-AS1","PTP4A3","LOC105370328","ID4",16489,14280,14262,14429,7001
"16490","DIAPH1-AS1","RAB38","LOC105372579","LOC101927636",16490,14281,14262,14431,7002
"16491","DNAH17-AS1","RHOU","LOC107984270","ZNF652",16491,14282,14262,14431,7003
"16492","EGFEM1P","RRN3P3","MMP23B","RSPO4",16492,14283,14262,14431,7003
"16493","FAM205C","SEC14L3","SMARCA5-AS1","LOC105373795",16493,14283,14262,14432,7003
"16494","FAM220CP","SLC2A11","TP53TG3D","HAP1",16494,14284,14263,14434,7005
"16495","FAM90A25P","SNORA118","LOC107986660","ADAM6",16495,14284,14263,14435,7006
"16496","FAM9C","TOB1-AS1","ANXA8","LOC105375875",16496,14284,14264,14436,7006
"16497","FCER2","TOGARAM2","LOC389765","C6orf163",16497,14284,14266,14437,7006
"16498","FCGR3B","TTC12","EFNA2","ADAMTSL4",16498,14285,14266,14437,7007
"16499","FGD5","IL18","ERMN","LOC101928582",16499,14285,14267,14439,7007
"16500","FLICR","GTSE1-DT","LOC101929160","LOC100130987",16500,14285,14267,14440,7007
"16501","FOXA3","H3C1","LOC107986065","ZNF816-ZNF321P",16501,14287,14268,14441,7008
"16502","FOXD4L6","LOC100288069","LOC105377650","GAPT",16502,14287,14268,14442,7008
"16503","FRG1FP","LOC105376866","RNF139-AS1","CPEB2",16503,14288,14269,14444,7010
"16504","FUNDC2P2","LOC107986092","CYTL1","LIG4",16504,14288,14270,14445,7011
"16505","GCM1","SPDYA","LOC105377101","LOC107987364",16505,14289,14270,14446,7011
"16506","GOLGA6L17P","TSSK6","B4GALNT3","GAB3",16506,14290,14271,14446,7012
"16507","GOLGA8M","DPF3","AKAP17A","TMEM252-DT",16507,14291,14272,14448,7013
"16508","GTF3C2-AS1","HGC6.3","LINC01914","DCAF12L2",16508,14291,14272,14449,7013
"16509","H19","SNORD13E","LOC107984760","C17orf100",16509,14291,14272,14450,7015
"16510","H3C13","LOC100288175","LOC107986250","ZNF570",16510,14291,14273,14452,7017
"16511","HP","LINC00562","LOC653653","REPS1",16511,14292,14274,14453,7018
"16512","IL10","CD99P1","LOC112268218","LOC105373634",16512,14293,14274,14454,7019
"16513","IL2RA","LINC01871","LOC105378367","IKZF4",16513,14293,14274,14454,7020
"16514","KLHL23","FAM153CP","GEMIN7-AS1","MIR193A",16514,14293,14274,14456,7021
"16515","KRT3","SLC34A2","PLA2G5","LOC101927436",16515,14293,14275,14456,7021
"16516","KRTAP29-1","BSN","RND1","CFHR5",16516,14294,14275,14456,7022
"16517","LCE2D","HLA-L","LOC105370109","LOC105377603",16517,14294,14275,14457,7023
"16518","LCN10","NIBAN3","LOC105371870","CACNA1B",16518,14295,14276,14458,7024
"16519","LCT","IQCJ","LOC105373802","TRAM1",16519,14295,14276,14458,7025
"16520","LGALS9C","LOC105371393","NETO1","BAHCC1",16520,14295,14277,14458,7026
"16521","LINC00106","LOC105375674","SNORA73B","FOXO6-AS1",16521,14295,14278,14460,7026
"16522","LINC00323","LOC112268272","LOC105378701","LOC440700",16522,14295,14279,14461,7027
"16523","LINC00426","LOC112268259","FLJ37201","OR7A17",16523,14296,14279,14463,7027
"16524","LINC00612","LOC105376675","MYCL","CCDC26",16524,14296,14280,14463,7028
"16525","LINC00706","LOC401127","LOC107985532","SEMA3B",16525,14296,14280,14464,7029
"16526","LINC00967","NAPEPLD","CDR1","PMAIP1",16526,14297,14281,14464,7031
"16527","LINC01297-DUXAP10-NBEAP6","DAPP1","CFLAR-AS1","LOC101927603",16527,14297,14281,14464,7031
"16528","LINC01317","DUSP21","DENND6A-DT","GAL3ST4",16528,14297,14281,14465,7032
"16529","LINC01359","FADS6","PCDHB18P","TAF10",16529,14297,14281,14465,7033
"16530","LINC01480","GOLGA8K","TREM1","FBXW7",16530,14297,14281,14465,7034
"16531","LINC01913","HHAT","LOC105376367","VDAC3",16531,14298,14282,14467,7035
"16532","LINC01971","LINC01991","THPO","MIR588",16532,14298,14282,14468,7035
"16533","LINC02008","LOC105372842","LOC105374841","LOC105371965",16533,14299,14282,14469,7035
"16534","LINC02078","LOC283045","LOC200772","BECN1",16534,14300,14282,14470,7037
"16535","LINC02277","SNORD4A","CFAP43","MIR4269",16535,14300,14282,14471,7038
"16536","LINC02468","UGT2B11","LINC02803","LINC01743",16536,14300,14282,14472,7039
"16537","LINC02636","C2orf50","CNOT3","FRMPD1",16537,14300,14283,14473,7039
"16538","LINC02643","AKR7A3","HBE1","SHARPIN",16538,14300,14283,14474,7040
"16539","LINC02730","DIRC3","PMFBP1","LOC105373985",16539,14301,14283,14475,7040
"16540","LINC02734","PTPRN2","CTAGE11P","P2RY4",16540,14302,14283,14475,7041
"16541","LOC100131626","LINC00597","LINC01539","ICAM3",16541,14302,14283,14476,7042
"16542","LOC100132686","PGAM4","PPIC-AS1","LOC105369297",16542,14304,14283,14477,7042
"16543","LOC100289333","LOC102724768","CRYBA2","LOC102723803",16543,14304,14285,14477,7042
"16544","LOC100505585","ENPEP","VNN2","LOC105377008",16544,14305,14286,14479,7042
"16545","LOC100507472","SNORA65","PSG6","ARMCX5",16545,14305,14286,14481,7044
"16546","LOC100652777","HCAR1","LOC102724104","GRM8-AS1",16546,14306,14286,14481,7045
"16547","LOC101926933","WHAMMP3","LOC107986606","LOC107985864",16547,14307,14287,14482,7046
"16548","LOC101927237","FBP2","ZDBF2","ZNF268",16548,14308,14287,14483,7047
"16549","LOC101927385","FGFBP1","LOC107985524","ADAM10",16549,14309,14288,14484,7049
"16550","LOC101927401","GRK5-IT1","PTPRH","LOC105377855",16550,14309,14289,14486,7050
"16551","LOC101927405","LOC107984858","ADAM32","LOC107984127",16551,14309,14290,14487,7050
"16552","LOC101928234","LOC107985297","ZNF208","GOLGA2P11",16552,14309,14290,14489,7050
"16553","LOC101928445","LOC107985549","LPAL2","ABT1",16553,14309,14290,14491,7051
"16554","LOC101928722","LOC112267883","CBWD3","CFAP61",16554,14309,14291,14493,7051
"16555","LOC101929014","MIR4697HG","ANGPTL8","LOC107987171",16555,14309,14291,14493,7052
"16556","LOC101929160","RDH16","BMS1P2","LOC105372105",16556,14310,14292,14495,7053
"16557","LOC101929229","RPL34-AS1","LOC105377320","MEF2C",16557,14310,14292,14495,7055
"16558","LOC101929480","SNORD114-19","LOC105373772","SPRR2A",16558,14310,14292,14495,7056
"16559","LOC101929507","TTC23L","PTPN5","LOC107987122",16559,14311,14292,14495,7056
"16560","LOC101929626","LOC107984261","ERI3-IT1","LNPEP",16560,14311,14292,14496,7058
"16561","LOC101929750","FGF23","KCNH1","ZNF816",16561,14311,14293,14496,7060
"16562","LOC101929963","LINC02100","TSLP","LOC107984124",16562,14311,14293,14496,7060
"16563","LOC101930129","LOC105369782","LOC105377485","TEX51",16563,14311,14294,14497,7060
"16564","LOC102723313","DICER1-AS1","PPIP5K1P1-CATSPER2","TRIM41",16564,14311,14295,14498,7061
"16565","LOC102723686","ZNF793","KRT86","IFNK",16565,14313,14296,14499,7061
"16566","LOC102723733","DECR2","CT66","MIR3936HG",16566,14315,14296,14501,7062
"16567","LOC102723961","WDR7-OT1","LOC102724780","LOC105379303",16567,14315,14296,14501,7062
"16568","LOC105369421","GPR19","LOC105369354","LINC01688",16568,14316,14296,14503,7063
"16569","LOC105369422","FRMD6-AS2","LOC105376675","UGT1A10",16569,14316,14297,14505,7063
"16570","LOC105369519","LOC101927837","SOD2-OT1","ESRRA",16570,14317,14297,14507,7065
"16571","LOC105369594","LOC105373511","LOC107986856","LINC01229",16571,14318,14297,14507,7066
"16572","LOC105369743","LOC102724250","LOC105370051","LOC105377219",16572,14319,14298,14509,7067
"16573","LOC105370054","MFF-DT","OTOS","LINC01121",16573,14320,14298,14510,7067
"16574","LOC105370175","ARHGAP15","PSG10P","PARP6",16574,14320,14300,14511,7069
"16575","LOC105370198","GNG8","EXOC3L1","LOC101929650",16575,14320,14301,14512,7070
"16576","LOC105370227","PLA2G5","PCOLCE-AS1","LOC100505918",16576,14322,14301,14513,7071
"16577","LOC105370519","HSD17B13","HSPA1L","KIAA1211L",16577,14322,14301,14513,7072
"16578","LOC105370538","FAM227A","LINC00703","LOC105373436",16578,14323,14301,14515,7073
"16579","LOC105370615","SLC39A4","LOC105372232","HAS3",16579,14323,14301,14516,7074
"16580","LOC105370647","LOC105369725","LOC107987048","LOC107986556",16580,14324,14301,14517,7074
"16581","LOC105370667","LOC105369724","SNORD76","LOC107986713",16581,14325,14301,14518,7074
"16582","LOC105370904","LOC105375215","MICOS10P1","R3HDML",16582,14325,14301,14520,7074
"16583","LOC105370924","LOC102723757","PCBP2-OT1","MIR4534",16583,14325,14301,14521,7074
"16584","LOC105371060","DHCR24-DT","RHPN1-AS1","MTIF3",16584,14326,14301,14521,7076
"16585","LOC105371296","NXPH4","CFP","LOC105370596",16585,14327,14301,14522,7077
"16586","LOC105371308","TDRP","LOC107986700","LINC02642",16586,14328,14302,14523,7077
"16587","LOC105371345","LOC107984886","LINC01929","TNMD",16587,14329,14302,14523,7077
"16588","LOC105371574","LHCGR","RIMS3","CDC42-AS1",16588,14329,14302,14524,7077
"16589","LOC105371619","PSG11","PGAM2","LOC107987452",16589,14329,14302,14525,7078
"16590","LOC105371636","LOC105377320","LINC01871","LINC01046",16590,14329,14302,14527,7078
"16591","LOC105371760","TSIX","SH3TC1","LOC102724250",16591,14329,14302,14527,7079
"16592","LOC105372317","UNC5B-AS1","MPO","LINC02314",16592,14329,14303,14528,7079
"16593","LOC105372390","LOC105373479","BIN3-IT1","RNA45SN1",16593,14330,14303,14530,7079
"16594","LOC105372440","TRIM29","LINC01394","MIR4458",16594,14331,14304,14532,7079
"16595","LOC105372838","LOC101927100","GRAMD2A","ERMP1",16595,14331,14304,14532,7081
"16596","LOC105372888","ADCK5","TM4SF4","CCM2",16596,14332,14304,14533,7082
"16597","LOC105372912","SNORD113-5","ISY1-RAB43","LOC107983950",16597,14332,14304,14533,7082
"16598","LOC105373020","TLE6","MIR30C2","MGAT4EP",16598,14332,14304,14534,7082
"16599","LOC105373740","LOC112268063","DLEU7","LOC105378247",16599,14333,14304,14535,7083
"16600","LOC105373910","LOC105378046","LOC112268262","AKAP12",16600,14333,14304,14535,7084
"16601","LOC105374077","LOC653160","LOC105370007","COL20A1",16601,14334,14304,14536,7085
"16602","LOC105374164","LOC105378904","SCARNA21","CEP89",16602,14334,14305,14537,7087
"16603","LOC105374328","ASCL5","LOC105376627","LOC105373576",16603,14334,14306,14537,7087
"16604","LOC105374470","CFAP65","MIR3928","ARL4A",16604,14334,14306,14537,7088
"16605","LOC105374663","CLMAT3","MIR106B","LINC00607",16605,14335,14306,14537,7090
"16606","LOC105374719","LOC100294145","LOC107984643","EPS8L1",16606,14335,14306,14539,7090
"16607","LOC105374780","LOC101928450","ANKRD7","SNAR-A2",16607,14335,14307,14541,7091
"16608","LOC105374934","LOC105371286","SNORD113-7","LOC107985071",16608,14335,14307,14542,7092
"16609","LOC105375038","LOC105373195","LOC105373289","FAM3D-AS1",16609,14336,14308,14543,7093
"16610","LOC105375074","LOC105377110","GNGT2","LINC00700",16610,14336,14309,14545,7094
"16611","LOC105375081","LOC107984019","ADGB","STX18-AS1",16611,14337,14310,14545,7095
"16612","LOC105375330","LOC107985080","ADH1A","GRM3",16612,14337,14310,14545,7096
"16613","LOC105375368","LOC107986642","ADRA2B","HLA-DRB1",16613,14338,14310,14545,7097
"16614","LOC105375534","MIR106B","ANKRD34B","SEPTIN1",16614,14338,14310,14546,7099
"16615","LOC105375639","NUTM1","AQP7P1","LOC112268077",16615,14338,14310,14546,7099
"16616","LOC105375648","PKN2-AS1","ARHGEF16","LINC02029",16616,14338,14311,14546,7100
"16617","LOC105375738","SNORA80E","B3GNT6","RTL5",16617,14339,14311,14546,7102
"16618","LOC105375772","SNORD91B","BNIPL","MPST",16618,14339,14311,14547,7103
"16619","LOC105375822","TAP2","BTBD18","LOC105376943",16619,14340,14313,14547,7104
"16620","LOC105376353","ZNF546","C17orf102","ASDURF",16620,14340,14313,14547,7105
"16621","LOC105376434","PDC","C5orf34-AS1","LOC112268415",16621,14340,14314,14547,7105
"16622","LOC105376539","DTX1","CACNG8","FAM106C",16622,14340,14314,14548,7106
"16623","LOC105376958","LINC00707","CGB2","LINC00691",16623,14342,14315,14549,7106
"16624","LOC105377148","LOC100506885","CLDN19","LOC107986193",16624,14343,14315,14549,7107
"16625","LOC105377370","AMZ1","CNTN6","MIR1226",16625,14344,14315,14550,7107
"16626","LOC105377613","A2M-AS1","DDC","LOC105376725",16626,14345,14315,14550,7108
"16627","LOC105377712","ADGRE1","DENND11","OR1I1",16627,14345,14316,14552,7108
"16628","LOC105377724","CASS4","DEUP1","MRPS30-DT",16628,14345,14316,14552,7108
"16629","LOC105378000","DEFB118","DHRS4L1","TTTY21",16629,14345,14316,14552,7108
"16630","LOC105378078","EN2","DLEU7-AS1","PI15",16630,14345,14316,14553,7108
"16631","LOC105378198","EPN3","DNAH2","CEP131",16631,14345,14316,14553,7110
"16632","LOC105378231","H4C12","DYRK1B","ARR3",16632,14345,14317,14554,7111
"16633","LOC105378260","KIAA0040","EBI3","NUDT18",16633,14346,14318,14555,7113
"16634","LOC105378375","KRTAP2-4","ELF5","LOC101927845",16634,14346,14319,14555,7114
"16635","LOC105378541","LOC101928882","ENTPD1","LOC105369189",16635,14347,14321,14557,7115
"16636","LOC105378617","LOC101929638","ESX1","APC",16636,14347,14321,14558,7116
"16637","LOC105378723","LOC105369351","EXTL3-AS1","FBXO6",16637,14348,14321,14558,7118
"16638","LOC105378823","LOC105370928","FABP9","ZNRD2-AS1",16638,14348,14321,14558,7120
"16639","LOC105378834","LOC105375639","FAM3D-AS1","LOC105374354",16639,14349,14321,14558,7120
"16640","LOC105378927","LOC105377473","FGF13-AS1","LOC105370472",16640,14349,14321,14558,7120
"16641","LOC105378943","LOC107984335","GKN1","PLAU",16641,14350,14321,14558,7122
"16642","LOC105378968","LOC107984708","GOLGA8N","OR5M9",16642,14350,14321,14559,7123
"16643","LOC105379551","LOC285500","GRIK1-AS1","LOC105374325",16643,14351,14321,14560,7124
"16644","LOC107984301","LYPLAL1-DT","HMX3","LOC105374775",16644,14351,14321,14560,7126
"16645","LOC107984340","MRPS18B","INSRR","KLK8",16645,14352,14321,14560,7126
"16646","LOC107984364","MTHFS","KC6","LOC105372647",16646,14353,14321,14560,7126
"16647","LOC107984485","NGF-AS1","KIRREL2","TMC8",16647,14353,14321,14560,7127
"16648","LOC107984531","SEPTIN3","KLK1","ZNF714",16648,14354,14321,14560,7128
"16649","LOC107984617","SLC35F1","KRBOX1-AS1","IL4R",16649,14355,14322,14560,7129
"16650","LOC107984626","SMG1P3","LAMP3","LOC105375522",16650,14356,14322,14560,7131
"16651","LOC107984849","SMG1P5","LINC00479","SPESP1",16651,14357,14322,14560,7132
"16652","LOC107985181","SNORD3B-1","LINC00911","NEK8",16652,14358,14323,14561,7133
"16653","LOC107985268","UNC5D","LINC01359","LOC101928592",16653,14358,14324,14561,7134
"16654","LOC107985458","UVRAG-DT","LINC01526","ANK2-AS1",16654,14358,14324,14561,7134
"16655","LOC107985507","TMEM225B","LINC02055","TNNT2",16655,14359,14325,14562,7135
"16656","LOC107985563","ADAMDEC1","LINC02252","MIR1286",16656,14361,14325,14562,7135
"16657","LOC107985669","DGAT1","LOC101927506","PIP5K1C",16657,14362,14325,14563,7136
"16658","LOC107985692","EGF","LOC101927513","LOC105372213",16658,14363,14326,14565,7137
"16659","LOC107986081","NEUROD1","LOC101927935","CDON",16659,14363,14326,14565,7138
"16660","LOC107986636","NOTUM","LOC101928875","HDAC10",16660,14365,14326,14566,7140
"16661","LOC107986773","BMS1P2-AGAP9","LOC105369853","TMC3-AS1",16661,14365,14326,14566,7141
"16662","LOC107986777","C9orf163","LOC105369994","XRN2",16662,14365,14326,14566,7143
"16663","LOC107986789","SLC22A5","LOC105370401","FAM118B",16663,14366,14326,14567,7145
"16664","LOC107986794","DDX59-AS1","LOC105371742","ATF2",16664,14366,14326,14567,7146
"16665","LOC107986828","LOC105378281","LOC105371793","HOXA-AS3",16665,14366,14326,14567,7146
"16666","LOC107987153","LOC105379326","LOC105372379","LOC105375675",16666,14366,14326,14567,7146
"16667","LOC112267899","SNORA3B","LOC105374111","VPS4B",16667,14367,14326,14568,7147
"16668","LOC112267993","LOC105375284","LOC105374129","LOC107984525",16668,14367,14326,14568,7149
"16669","LOC112268189","MZF1-AS1","LOC105374357","SEC22A",16669,14368,14327,14569,7150
"16670","LOC112268271","IGSF9B","LOC105374721","CDA",16670,14369,14327,14569,7151
"16671","LOC112268319","RPSAP9","LOC105375783","LOC112268208",16671,14370,14328,14570,7152
"16672","LOC112268455","SMC5-AS1","LOC105375985","LINC00837",16672,14370,14330,14571,7153
"16673","LOC150051","TAF15","LOC105376080","MIR6503",16673,14371,14331,14572,7154
"16674","LOC283194","LOC101927241","LOC105377019","LOC105378468",16674,14371,14331,14573,7154
"16675","MIR10A","LINC02056","LOC105377356","LCE3D",16675,14371,14331,14573,7156
"16676","MIR3138","LOC105375896","LOC105378145","MMS19",16676,14372,14331,14574,7157
"16677","MIR378D2","PCDHGA12","LOC105379065","MIR1278",16677,14373,14332,14575,7158
"16678","MIR3936","MIR7110","LOC105379303","LOC107985485",16678,14373,14332,14576,7159
"16679","MIR4777","LOC101929470","LOC105379565","LOC105379554",16679,14374,14332,14576,7160
"16680","MIR5572","LOC107985877","LOC107984284","RBBP7",16680,14375,14332,14576,7162
"16681","MIR602","BVES-AS1","LOC107985241","LOC101930109",16681,14376,14332,14577,7163
"16682","MIR619","GRIA1","LOC107985359","CFAP46",16682,14377,14333,14579,7164
"16683","MIR6512","SCUBE1","LOC107985361","ZBTB14",16683,14377,14333,14579,7166
"16684","MIR6769B","LOC101929691","LOC107985500","LOC105376447",16684,14377,14333,14579,7167
"16685","MIR98","CCRL2","LOC107985960","ARMS2",16685,14378,14333,14579,7167
"16686","MPC1L","LOC105370322","LOC107985994","OR10Z1",16686,14380,14333,14579,7168
"16687","MRPL23-AS1","WNT2","LOC107986051","MSL3",16687,14381,14333,14580,7169
"16688","MUC7","GCK","LOC107986629","OR8D2",16688,14382,14333,14581,7170
"16689","NAT8","ART5","LOC107986934","KLHL1",16689,14383,14334,14582,7170
"16690","NXNL1","LOC101927572","LOC112268073","LOC107985704",16690,14385,14334,14582,7170
"16691","OR10G4","CAPN10-DT","LOC112268081","SNORA75B",16691,14386,14334,14583,7170
"16692","OR2C1","LOC105377359","LOC401176","TTTY7",16692,14387,14334,14584,7171
"16693","OR3A2","IQCA1","MIR130B","LOC107985817",16693,14388,14335,14585,7171
"16694","OTOAP1","LOC101927770","MIR3681HG","MRPL13",16694,14389,14335,14585,7173
"16695","PLA1A","SYCE1L","MSLN","LPAR1",16695,14389,14335,14586,7174
"16696","PLA2G1B","CCDC140","NOS2","PADI3",16696,14390,14336,14587,7174
"16697","PLCH2","LOC101928063","NPY","SPATA17",16697,14390,14336,14588,7175
"16698","PRR26","LOC100130987","NTRK1","PHLDA2",16698,14390,14336,14589,7175
"16699","PSMA8","JAKMIP3","OVOL1","LOC105370679",16699,14391,14336,14590,7176
"16700","PVALB","FUT6","PDIA2","PCOLCE-AS1",16700,14391,14336,14590,7176
"16701","PVALEF","LINC01234","RAB39A","IBA57-DT",16701,14391,14336,14590,7177
"16702","RBFOX3","LOC100130298","RGS7BP","LOC102724830",16702,14391,14336,14591,7177
"16703","RDM1","MOSMO","SLC38A8","SLC45A1",16703,14392,14336,14592,7179
"16704","RHOV","DPEP1","SLC39A12","TMEM95",16704,14393,14336,14592,7179
"16705","RNF43","LINC01842","SNORD114-25","TPH1",16705,14394,14336,14593,7180
"16706","RNVU1-4","AMDHD1","SNORD114-4","GSTM1",16706,14395,14336,14593,7182
"16707","ROCR","GPD1","SNORD116-18","SNORA49",16707,14395,14337,14594,7182
"16708","RORA-AS2","KRT222","SNORD3D","PRR29-AS1",16708,14396,14337,14594,7182
"16709","SACS-AS1","LOC100506178","SORCS1","LOC105376033",16709,14396,14338,14595,7183
"16710","SCARF1","LOC101929563","SPIB","CD44",16710,14396,14338,14596,7184
"16711","SCIMP","LOC102723729","SYT15","LOC105375821",16711,14397,14338,14597,7186
"16712","SCN1A-AS1","LOC105370328","SYT2","RBFA",16712,14398,14339,14598,7188
"16713","SERHL","LOC105370515","TBX4","CTB-1I21.1",16713,14398,14339,14599,7188
"16714","SNHG25","LOC105370841","TMLHE-AS1","LOC102723789",16714,14399,14341,14600,7188
"16715","SNORA75","LOC105370980","TNNI1","LOC105370481",16715,14399,14341,14600,7188
"16716","SNORD12C","LOC105375294","TSSK1B","PGRMC1",16716,14399,14341,14600,7190
"16717","SNORD33","LOC105375624","ZMYND15","CROT",16717,14400,14341,14602,7191
"16718","SNORD3K","LOC107985871","LOC107986013","RGL1",16718,14401,14341,14602,7192
"16719","SNORD88A","LOC107985923","LMOD3","POMK",16719,14401,14342,14602,7193
"16720","STARD13-AS","LOC107986597","FLJ39095","GSDMB",16720,14401,14343,14602,7195
"16721","SYCE1","LOC107986788","HJV","OR7E2P",16721,14401,14343,14602,7195
"16722","SYNE4","LOC112268099","INE1","LOC101929050",16722,14401,14343,14602,7195
"16723","TEX33","LOC112268460","LOC105379377","SEPTIN3",16723,14401,14343,14602,7197
"16724","TMEM51-AS1","LOC388436","SNORA74B","ZNF697",16724,14402,14343,14603,7199
"16725","TNNI3","PNCK","PIK3IP1-AS1","TLR2",16725,14403,14343,14605,7201
"16726","TP53TG3F","PON1","ELMO3","CPN2",16726,14403,14343,14606,7202
"16727","TPTE2","PSG8-AS1","PIP4K2B","LOC105378708",16727,14404,14344,14607,7202
"16728","TXNDC8","PTCSC1","LOC105373933","UBXN4",16728,14404,14345,14608,7203
"16729","UBE2U","SDR9C7","LOC105378862","OR5M1",16729,14404,14345,14609,7204
"16730","WASIR1","SKOR1","ATF6B","LOC112267965",16730,14405,14346,14610,7205
"16731","WDR93","SNORA77","F2RL3","LINC00841",16731,14406,14348,14612,7206
"16732","WFDC13","SNORD111B","LOC105370361","LOC105370675",16732,14406,14348,14612,7207
"16733","ZAR1L","SULT4A1","LOC105373031","LINC02664",16733,14406,14348,14612,7208
"16734","ZEB2-AS1","TOX3","LOC107985675","LOC105378947",16734,14407,14349,14612,7208
"16735","ZFP57","HAPLN1","PRKAR2B-AS1","LINC00348",16735,14408,14349,14613,7208
"16736","ZFX-AS1","LOC100128568","CHST6","LOC107984351",16736,14409,14351,14613,7208
