	samp_1_DMSO	samp_2_DMSO	samp_3_DMSO	samp_4_DMSO	samp_5_DMSO	samp_6_DMSO	samp_1_calmidazolium 	samp_2_calmidazolium 	samp_3_calmidazolium 	samp_4_calmidazolium 	samp_5_calmidazolium 	samp_6_calmidazolium 	samp_1_fludrocortisone	samp_2_fludrocortisone	samp_3_fludrocortisone	samp_4_fludrocortisone	samp_5_fludrocortisone	samp_6_fludrocortisone
AAR2	407	589	115	135	95	81	141	16	32	75	7	20	44	41	95	36	86	18
AARD	0	2	0	0	2	0	0	0	1	0	0	0	2	1	0	0	0	0
AARS1	536	1017	389	342	219	182	283	43	104	298	39	72	49	99	106	54	135	60
AARS2	153	257	47	84	55	26	23	5	12	64	11	29	4	22	18	16	52	13
AARSD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	107	141	27	58	26	17	37	3	4	21	2	7	6	13	18	9	58	8
AASDHPPT	225	628	158	119	127	84	67	14	32	79	17	22	28	43	44	44	76	25
AASS	57	127	17	18	18	13	53	2	10	18	5	5	11	16	8	11	16	5
AATBC	2	8	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
AATF	5	5	3	2	3	0	0	2	0	1	0	0	0	3	1	0	1	1
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
ABALON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	42	98	8	31	15	3	14	0	4	16	2	9	2	12	10	7	22	5
ABCA1	273	1192	224	139	110	101	251	60	71	174	12	76	22	93	63	22	65	13
ABCA10	2	5	1	1	5	0	2	0	0	0	0	0	0	0	0	0	0	1
ABCA11P	8	15	5	0	1	0	0	0	2	2	1	1	1	0	0	0	1	0
ABCA12	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ABCA13	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
ABCA17P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2	91	216	62	38	39	21	31	9	13	29	2	7	14	26	15	9	31	8
ABCA3	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	7	0
ABCA4	1	0	1	0	0	0	3	1	3	0	0	0	0	0	0	0	0	0
ABCA5	87	122	16	27	30	7	40	3	5	16	3	13	10	10	9	9	13	1
ABCA6	111	262	33	80	33	15	44	5	10	53	7	8	10	42	15	18	29	7
ABCA7	39	36	13	7	8	1	13	0	2	12	1	3	1	3	1	0	18	0
ABCA8	16	26	2	12	1	3	7	0	0	4	0	0	0	2	1	2	3	0
ABCA9	39	106	8	34	5	14	13	2	4	18	0	2	1	13	0	4	10	5
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	2	2	0	0	4	1	14	0	0	0	1	0	0	0	0	0	0	0
ABCB10	164	363	111	103	93	32	63	8	22	51	9	16	17	20	36	17	31	19
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	93	81	35	22	17	10	28	2	12	12	4	4	14	6	29	1	4	1
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	89	135	106	51	43	35	45	6	20	11	3	8	8	25	15	9	15	11
ABCB7	200	342	103	92	77	25	85	9	25	73	13	15	19	42	48	10	44	10
ABCB8	189	413	118	102	64	34	57	9	35	83	12	10	9	26	40	19	36	13
ABCB9	33	80	10	18	9	8	12	2	4	3	2	0	3	5	3	2	2	1
ABCC1	17	41	34	16	11	5	8	1	2	7	0	6	0	4	7	0	3	3
ABCC10	123	207	86	87	48	29	48	3	8	29	6	12	5	16	28	21	35	5
ABCC11	2	5	2	0	3	0	3	1	0	1	0	0	0	0	0	0	0	1
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABCC2	19	19	1	15	1	0	33	1	1	15	0	2	0	1	0	0	0	0
ABCC3	253	637	149	171	124	68	110	18	48	97	22	21	39	51	85	29	97	16
ABCC4	237	583	225	164	97	70	88	20	30	122	13	17	38	58	62	50	90	26
ABCC5	100	282	123	95	69	38	93	5	36	80	8	3	12	54	30	17	59	11
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	268	548	239	74	38	66	77	11	49	63	10	28	22	43	119	15	46	24
ABCD1	168	181	49	56	37	22	28	10	18	28	8	5	12	16	20	10	34	4
ABCD2	13	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ABCD3	448	674	296	191	180	76	139	17	46	146	15	18	52	80	75	73	134	25
ABCD4	191	359	84	108	40	36	68	11	38	85	11	20	18	28	42	19	56	12
ABCE1	422	1063	394	270	221	115	129	28	47	159	15	26	49	69	120	52	148	33
ABCF1	1	51	2	1	0	0	1	1	0	0	0	0	0	3	1	3	1	0
ABCF1-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2	423	810	254	239	191	100	163	21	45	187	26	25	41	86	104	53	144	32
ABCF3	236	545	115	136	98	49	77	7	33	85	8	15	18	30	27	30	66	11
ABCG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG2	1	9	1	1	0	3	0	0	0	0	0	0	0	1	2	2	8	1
ABCG4	12	5	5	6	3	2	1	1	0	1	0	0	0	0	4	1	1	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	295	613	170	131	135	63	135	20	43	139	19	20	19	35	32	17	108	18
ABHD11	99	173	81	67	29	23	25	7	21	18	5	11	9	19	17	14	40	11
ABHD11-AS1	14	37	11	2	1	0	2	1	8	1	1	1	0	0	1	1	3	0
ABHD12	457	956	391	244	215	105	183	23	86	182	48	47	59	111	140	75	285	57
ABHD12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	139	242	74	75	59	46	75	13	24	45	9	15	17	21	24	19	33	11
ABHD14A	208	385	111	85	43	50	67	8	11	52	3	9	26	49	29	23	34	15
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	685	934	303	363	187	95	336	37	55	194	29	30	59	97	102	73	127	26
ABHD15	163	301	114	73	60	42	45	7	19	34	8	5	10	31	46	24	49	6
ABHD16A	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	298	567	167	123	115	54	111	22	36	113	15	16	40	44	63	38	86	13
ABHD17B	87	193	93	57	37	36	91	6	30	56	3	12	13	24	55	16	23	13
ABHD17C	100	210	65	42	43	36	92	4	32	78	9	10	11	20	55	20	68	11
ABHD18	73	128	21	36	31	10	11	5	6	25	11	3	7	18	11	2	17	5
ABHD2	660	1598	456	325	281	179	255	46	108	217	31	58	42	124	167	66	189	60
ABHD3	22	110	28	33	20	16	4	2	2	8	0	3	3	7	3	1	7	5
ABHD4	398	467	216	177	63	55	127	22	25	132	24	18	19	43	52	19	56	19
ABHD5	387	964	405	263	319	154	172	41	96	211	46	57	57	131	237	79	236	39
ABHD6	75	120	48	43	29	9	19	10	20	29	9	5	6	14	15	9	23	8
ABHD8	38	81	19	22	12	12	16	6	3	16	1	3	5	3	11	6	2	4
ABI1	440	840	336	239	262	117	226	25	69	244	47	48	49	94	121	60	133	36
ABI2	380	615	193	196	125	86	176	28	33	126	19	28	27	36	80	35	89	15
ABI3	0	5	1	0	0	0	3	0	0	0	0	0	0	1	0	1	1	0
ABI3BP	268	479	106	111	52	85	83	19	40	69	9	23	24	37	79	14	48	24
ABITRAM	163	180	132	68	37	26	17	5	18	42	5	11	9	22	28	12	36	12
ABL1	631	1002	321	290	253	110	390	40	81	229	43	55	52	109	102	52	134	38
ABL2	1429	3114	1837	794	735	393	3954	216	721	1586	449	368	155	308	763	180	734	171
ABLIM1	34	68	11	21	33	9	12	4	0	5	3	2	6	14	4	7	20	1
ABLIM2	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ABLIM3	377	694	362	220	141	56	145	22	50	166	18	26	96	134	189	96	280	43
ABO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	5	9	2	2	1	2	1	0	1	14	0	1	1	0	3	0	1	0
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	354	695	345	233	199	101	167	20	106	134	37	39	39	52	127	48	129	28
ABRAXAS1	177	313	109	117	89	48	70	11	19	62	14	20	22	30	36	21	46	17
ABRAXAS2	163	305	112	59	69	34	65	10	16	66	10	10	18	33	21	7	44	17
ABT1	118	240	86	74	74	17	60	7	21	40	14	3	13	13	21	19	30	6
ABTB1	117	177	58	54	33	27	47	16	29	57	11	13	7	21	35	15	43	13
ABTB2	106	147	60	55	52	26	54	7	9	19	5	5	8	17	42	9	36	6
ACAA1	460	956	362	277	221	111	176	16	46	186	27	34	55	93	159	56	242	33
ACAA2	955	1435	515	408	305	210	236	34	90	228	28	44	90	110	231	77	267	44
ACACA	5	8	4	5	4	1	1	0	0	0	0	0	0	1	0	0	0	0
ACACB	20	26	3	21	5	4	4	1	3	9	0	2	1	1	4	0	2	0
ACAD10	81	94	43	25	31	11	39	0	8	20	7	3	5	4	16	7	17	3
ACAD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAD8	97	192	66	51	54	17	44	3	11	24	6	4	5	10	13	9	14	8
ACAD9	200	396	106	119	80	29	81	11	35	61	7	10	27	35	39	22	62	12
ACADL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	158	417	122	71	131	80	86	20	22	72	9	22	14	33	50	34	84	14
ACADS	81	101	37	17	19	9	26	7	3	17	1	5	10	8	17	6	22	0
ACADSB	83	231	38	47	40	13	47	1	12	39	5	3	7	12	21	6	18	7
ACADVL	1949	3591	1385	1053	807	567	600	125	255	707	120	174	192	320	477	203	653	161
ACAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP2	507	1118	367	334	202	195	246	43	71	250	43	56	64	108	118	75	167	59
ACAP3	253	376	102	103	75	63	84	5	38	73	10	7	22	36	58	13	73	20
ACAT1	744	1624	525	495	377	158	273	47	107	319	43	65	88	158	209	98	269	69
ACAT2	338	741	205	210	233	59	143	35	53	153	22	21	37	90	98	50	158	13
ACBD3	836	1541	533	427	277	205	526	64	153	407	56	91	85	143	209	88	265	56
ACBD3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD4	65	100	4	25	13	6	12	2	5	18	1	1	8	5	2	6	10	4
ACBD5	231	518	135	92	86	42	72	20	17	139	14	16	24	55	85	29	73	19
ACBD6	579	1267	299	264	238	129	268	47	66	205	20	43	60	99	152	48	151	39
ACBD7	21	8	1	2	6	0	5	0	0	0	2	1	0	1	0	1	0	0
ACBD7-DCLRE1CP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCS	62	83	28	38	15	5	40	4	11	22	3	11	2	9	30	2	12	2
ACCSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	245	509	184	96	109	67	87	10	16	39	8	13	15	42	25	23	85	16
ACE	37	62	20	25	6	5	12	7	3	3	2	0	1	7	2	5	1	4
ACE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER2	21	64	19	20	12	4	3	5	8	8	0	0	2	4	1	3	14	0
ACER3	250	397	206	115	123	59	133	13	26	88	10	24	25	45	57	28	70	17
ACHE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACIN1	615	1300	419	408	281	173	327	48	80	311	47	48	68	120	129	63	164	36
ACKR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACKR3	29	128	15	21	8	2	39	1	2	13	3	2	9	6	11	5	5	3
ACKR4	188	218	141	92	25	13	98	3	30	41	7	7	5	10	20	5	7	3
ACLY	1413	3029	1272	812	748	450	652	77	261	601	88	147	130	303	393	208	623	141
ACMSD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	560	1200	375	386	164	128	229	37	68	163	27	20	79	94	99	69	170	31
ACO2	674	1316	567	389	317	181	282	34	109	259	40	60	74	112	163	93	236	31
ACOD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT1	5	14	7	3	2	1	0	0	3	1	0	0	0	0	5	1	8	0
ACOT11	52	37	11	32	26	3	14	0	12	2	5	3	1	3	10	7	18	5
ACOT12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACOT13	438	852	311	264	155	96	138	25	40	128	25	26	27	86	84	51	138	27
ACOT2	81	165	38	51	27	30	42	6	15	18	0	10	12	9	14	6	28	4
ACOT4	4	61	12	13	3	6	1	2	1	3	0	4	1	3	5	5	1	5
ACOT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	329	847	381	262	261	108	161	34	51	175	31	18	34	77	163	84	217	39
ACOT8	133	359	118	105	55	46	41	11	17	70	7	16	17	26	39	20	55	8
ACOT9	436	809	297	234	232	98	135	16	66	118	18	63	47	88	124	39	184	42
ACOX1	390	788	229	254	167	109	121	14	85	149	17	39	52	70	89	54	111	30
ACOX2	179	257	87	99	64	26	89	5	37	24	7	3	15	13	39	20	18	7
ACOX3	137	313	159	69	71	46	83	10	21	75	8	18	19	27	44	11	70	12
ACOXL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACOXL-AS1	1	2	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
ACP1	680	1369	382	356	322	158	199	23	115	202	29	58	63	102	143	77	220	48
ACP2	155	343	142	75	71	44	80	11	34	45	9	15	17	40	29	14	58	11
ACP3	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	8	0
ACP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP5	45	97	24	16	5	4	26	1	6	9	0	5	8	5	10	2	7	3
ACP6	97	154	30	35	18	5	12	0	15	19	1	9	5	6	20	10	20	4
ACP7	5	0	12	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0
ACR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACRV1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG1	2	8	7	6	1	2	4	0	0	3	1	0	1	4	1	2	1	0
ACSBG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSF2	194	147	52	67	23	16	46	9	15	43	4	4	5	21	7	11	17	3
ACSF3	141	184	95	71	73	40	69	3	29	62	4	11	22	14	21	24	51	11
ACSL1	291	460	149	119	77	68	113	12	14	86	9	17	46	61	65	42	77	21
ACSL3	674	1299	379	379	294	136	485	60	117	378	46	76	99	109	175	114	209	46
ACSL3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSL4	749	1379	534	450	375	151	471	48	123	320	52	37	70	101	192	73	259	43
ACSL5	13	29	9	1	0	4	1	1	0	1	1	1	0	4	0	0	3	0
ACSL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSL6-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	1	2	3	1	1	3	0	0	0	0	0	0	0	1	1	0	5	1
ACSM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	10	18	12	3	4	4	10	1	0	1	1	2	2	6	3	2	4	0
ACSS2	125	309	73	73	62	32	43	4	13	54	4	8	14	14	24	13	36	3
ACSS3	59	161	32	37	40	23	22	4	3	27	6	4	5	16	10	6	18	9
ACTA1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA2	1019	2663	631	641	1345	447	391	69	103	396	145	143	100	259	178	181	1420	149
ACTA2-AS1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTB	34774	59286	27222	18283	24671	8644	11617	1586	5611	9666	2622	2540	3501	4320	9864	4047	18150	2587
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	61	254	610	49	238	136	28	1	220	21	34	51	5	19	232	22	221	35
ACTG1	30426	53343	28677	14785	21321	8397	11672	1551	5402	9247	2735	2669	3113	3960	10588	3593	15234	2413
ACTG1P17	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P20	8	10	7	3	3	2	8	0	3	4	0	0	0	2	8	0	0	0
ACTG1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL10	27	63	4	3	19	1	0	0	3	5	1	0	1	3	0	10	0	0
ACTL6A	182	425	105	103	111	60	43	14	17	58	21	25	23	24	29	18	43	17
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	4009	9592	3227	2208	2532	1368	1637	271	546	1750	352	392	370	732	1057	428	1856	357
ACTN1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	1	2	1	0	0	0	10	0	1	0	0	0	0	0	0	0	1	0
ACTN3	1	0	0	1	0	5	0	0	0	0	0	0	0	3	3	0	0	0
ACTN4	80	169	43	43	52	15	24	0	9	29	7	5	6	4	22	2	39	6
ACTR10	670	1376	468	478	349	159	244	36	98	255	68	66	65	138	190	77	201	56
ACTR1A	1751	3337	1292	922	838	369	727	101	229	573	121	165	169	260	431	233	634	146
ACTR1B	457	616	181	217	187	84	113	13	46	124	20	22	45	52	108	60	116	27
ACTR2	2761	4933	1790	1516	1093	618	888	156	325	972	121	193	283	417	573	324	910	190
ACTR3	1528	3276	1195	1027	864	385	528	115	224	679	125	127	143	260	479	205	627	132
ACTR3-AS1	17	20	4	8	4	0	2	0	5	6	0	0	0	0	7	0	14	1
ACTR3B	31	72	15	13	13	4	17	1	4	8	0	6	7	1	7	2	6	2
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1
ACTR5	56	72	28	35	47	4	22	2	8	13	1	4	1	9	9	2	8	4
ACTR6	183	319	80	75	47	32	45	13	20	62	12	6	18	31	36	16	54	6
ACTR8	310	607	279	166	129	98	126	16	53	67	28	30	35	54	86	30	109	23
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	32	46	34	19	17	3	4	1	0	7	0	3	4	6	9	6	9	5
ACVR1	485	753	215	186	112	112	201	23	39	139	27	38	31	54	61	31	94	26
ACVR1B	106	232	71	75	36	47	71	9	15	45	4	12	13	17	47	17	40	14
ACVR1C	11	15	3	0	7	0	11	0	1	22	0	4	0	0	0	0	0	0
ACVR2A	56	148	38	28	14	36	33	4	6	33	3	8	4	11	10	2	16	8
ACVR2B	7	21	10	8	7	2	3	1	2	1	0	0	3	4	3	4	8	2
ACVR2B-AS1	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACVRL1	379	538	177	93	114	47	125	11	43	105	15	20	71	70	85	66	106	33
ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACY3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACYP1	85	311	81	89	60	19	15	5	8	26	12	17	9	12	13	12	28	12
ACYP2	256	484	134	157	109	51	84	20	56	75	15	24	35	48	48	25	101	17
ADA	190	323	61	117	49	31	35	18	16	57	14	16	14	18	23	15	38	11
ADA2	95	109	27	38	24	4	76	7	3	20	5	3	15	2	17	5	17	1
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAL	126	344	93	47	80	15	39	7	23	49	6	11	10	23	18	11	32	3
ADAM10	1691	2918	745	895	579	392	574	77	148	573	76	128	157	244	296	146	405	103
ADAM11	2	6	0	2	0	0	1	1	0	0	0	1	0	1	1	0	0	0
ADAM12	1025	2702	967	527	449	742	479	90	191	302	49	244	86	176	271	71	264	173
ADAM15	200	331	91	89	57	43	59	10	24	79	9	13	22	20	51	22	35	12
ADAM17	477	790	292	197	159	73	250	41	73	209	24	29	50	82	124	39	136	30
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM19	313	1020	359	190	178	146	116	13	85	108	22	26	25	42	51	43	76	30
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20	8	7	1	1	2	3	0	0	1	0	0	0	0	0	0	0	1	3
ADAM20P1	0	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
ADAM21	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ADAM21P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM22	0	9	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0
ADAM23	51	116	3	12	20	0	19	4	2	9	1	4	13	10	2	4	15	0
ADAM28	6	21	1	0	4	0	1	0	0	4	0	0	0	0	0	1	1	0
ADAM29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	4	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAM33	473	749	202	258	119	110	294	28	32	200	30	31	51	85	57	66	143	24
ADAM3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ADAM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	5	14	2	14	1	1	2	0	0	3	0	0	0	0	4	4	0	0
ADAM9	315	555	215	145	104	70	127	21	24	84	9	19	31	61	75	37	69	18
ADAMDEC1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ADAMTS1	559	1383	442	337	496	233	391	88	182	519	95	120	86	94	137	87	186	73
ADAMTS10	26	92	8	12	4	12	27	0	1	17	0	9	5	3	6	3	3	0
ADAMTS12	248	507	161	88	53	52	178	7	31	91	8	15	27	40	42	10	16	11
ADAMTS13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS14	58	112	12	29	24	11	23	5	1	18	2	3	2	2	8	2	8	6
ADAMTS15	20	1	3	8	0	1	2	1	0	0	0	1	1	1	0	1	4	0
ADAMTS16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS17	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS18	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTS19	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
