	samp_1_DMSO	samp_2_DMSO	samp_3_DMSO	samp_4_DMSO	samp_5_DMSO	samp_6_DMSO	samp_1_calmidazolium 	samp_2_calmidazolium 	samp_3_calmidazolium 	samp_4_calmidazolium 	samp_5_calmidazolium 	samp_6_calmidazolium 	samp_1_fludrocortisone	samp_2_fludrocortisone	samp_3_fludrocortisone	samp_4_fludrocortisone	samp_5_fludrocortisone	samp_6_fludrocortisone
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ABHD1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
ABHD10	178	162	295	95	137	113	207	219	88	268	158	98	374	288	31	434	396	152
ABHD11	109	98	186	70	129	78	75	133	69	94	92	66	224	221	29	181	410	138
ABHD11-AS1	5	6	15	5	5	1	12	8	9	13	5	4	30	13	3	17	13	3
ABHD12	376	458	946	229	484	316	361	633	477	437	508	237	1077	1190	220	1166	1964	746
ABHD12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABHD13	80	56	123	38	54	50	92	104	38	110	75	54	203	162	17	174	222	91
ABHD14A	169	126	208	82	79	98	226	163	90	161	99	103	458	320	28	316	322	241
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	518	329	649	240	304	220	483	463	316	525	280	200	1369	864	92	1220	1168	347
ABHD15	102	80	138	49	84	67	60	91	54	83	43	43	279	199	28	263	309	112
ABHD16A	0	0	1	4	0	1	0	0	0	0	0	0	0	2	0	1	1	0
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	258	207	433	143	271	200	292	277	267	275	220	139	632	470	62	630	766	384
ABHD17B	66	51	150	41	47	47	81	82	29	70	71	30	190	106	41	169	202	85
ABHD17C	50	76	195	35	65	48	110	88	83	115	73	23	184	129	31	192	314	100
ABHD18	20	20	36	7	20	13	10	19	8	22	25	14	50	76	4	44	89	15
ABHD2	520	548	1025	256	392	445	400	773	371	550	380	334	1328	1091	97	1174	1202	669
ABHD3	5	4	21	3	5	13	9	12	3	11	4	7	27	23	2	26	25	21
ABHD4	156	141	384	104	138	90	197	256	188	271	170	126	472	345	33	389	452	205
ABHD5	175	243	726	138	337	216	232	376	237	366	450	219	791	797	120	968	1370	463
ABHD6	37	30	64	15	25	30	50	62	27	67	43	20	117	79	10	121	127	60
ABHD8	44	45	65	13	20	17	48	57	27	41	21	11	91	74	11	69	60	40
ABI1	242	215	426	101	260	153	224	369	138	336	313	186	725	541	85	622	987	305
ABI2	204	159	311	101	205	141	223	269	123	289	233	123	497	350	24	490	728	224
ABI3	6	6	0	0	3	1	2	8	0	1	0	1	7	6	0	1	2	2
ABI3BP	23	79	103	11	29	41	23	117	42	31	29	28	89	233	29	65	154	116
ABITRAM	62	51	125	38	33	42	73	68	54	124	53	51	246	157	15	232	212	84
ABL1	321	331	538	165	393	236	346	551	259	463	534	198	884	827	49	658	1307	402
ABL2	699	719	2867	517	1059	632	3118	3071	2304	2081	3788	1193	2281	2244	671	2167	4081	1575
ABLIM1	12	32	17	5	68	3	11	35	10	24	61	8	39	80	11	76	316	26
ABLIM2	0	0	0	3	0	0	2	0	0	2	0	0	64	2	0	6	12	0
ABLIM3	244	229	521	153	261	109	185	243	165	187	184	81	1159	1023	253	1268	1884	537
ABO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	0	2	2	1	1	1	2	6	5	1	1	0	7	2	0	4	8	3
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	171	176	596	131	211	168	177	244	196	306	199	163	647	431	92	718	934	309
ABRAXAS1	100	94	113	45	110	45	112	114	48	119	93	72	307	180	17	221	308	100
ABRAXAS2	82	74	151	43	94	62	102	153	60	131	114	54	275	176	26	258	379	100
ABT1	58	65	120	34	70	46	90	85	47	103	72	45	212	149	19	193	312	65
ABTB1	68	73	170	29	55	54	122	130	91	134	86	70	246	203	26	234	252	113
ABTB2	28	24	142	14	52	25	35	40	51	53	70	30	252	148	27	126	327	76
ACAA1	316	277	677	185	277	176	346	373	307	417	254	166	1095	782	88	791	957	306
ACAA2	582	400	940	266	457	385	589	537	335	699	470	380	1838	1082	93	1388	1833	580
ACACA	2	0	2	1	2	2	5	5	5	1	1	3	7	0	1	7	7	0
ACACB	5	7	14	1	5	5	7	3	3	10	8	7	26	14	10	24	16	21
ACAD10	40	42	61	25	30	13	37	44	36	52	37	19	111	91	13	103	120	29
ACAD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACAD8	27	14	62	10	34	21	52	36	18	47	36	15	150	84	8	95	126	31
ACAD9	160	170	229	102	139	65	151	156	104	151	85	61	426	281	62	301	448	152
ACADL	2	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0
ACADM	82	130	195	59	120	89	102	191	57	143	129	64	246	262	23	268	540	143
ACADS	33	49	69	17	53	15	48	58	33	34	33	30	124	61	17	56	80	41
ACADSB	43	44	62	24	32	24	46	56	13	40	38	17	126	107	7	109	152	35
ACADVL	945	1188	2392	530	1041	895	1059	1607	1186	1551	1306	924	3286	3051	271	2937	4360	1719
ACAN	0	0	8	0	0	0	2	1	3	0	2	0	3	0	0	4	4	0
ACAP1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACAP2	288	267	520	155	228	226	280	370	145	410	292	217	843	660	71	826	1078	451
ACAP3	121	182	335	62	144	101	106	239	215	146	166	86	336	382	50	261	504	214
ACAT1	444	390	775	224	428	239	483	501	268	624	378	193	1388	990	57	1214	1621	407
ACAT2	246	184	295	115	237	69	305	329	149	339	276	102	745	479	50	614	989	128
ACBD3	771	807	1491	438	768	627	848	1495	712	1127	1017	488	1929	1504	287	1725	2553	1015
ACBD3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD4	26	19	22	8	20	11	29	19	14	15	5	7	67	38	4	46	34	6
ACBD5	136	124	278	46	167	86	119	167	77	152	126	75	412	335	38	360	521	156
ACBD6	359	310	538	130	289	200	362	524	262	508	396	235	1052	944	53	821	1282	403
ACBD7	9	3	3	0	1	0	0	2	2	0	1	0	14	2	4	1	15	2
ACBD7-DCLRE1CP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCS	28	30	61	18	21	2	37	20	26	32	20	7	70	53	8	60	62	12
ACCSL	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACD	172	161	265	71	172	111	151	244	123	162	191	71	413	375	47	329	611	218
ACE	8	32	35	7	11	16	7	44	16	10	11	9	22	81	3	14	46	34
ACE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACER2	6	9	14	9	4	11	10	10	4	11	8	2	17	13	5	30	25	6
ACER3	123	95	217	60	119	83	115	122	70	138	99	52	375	280	31	307	427	168
ACHE	0	0	2	0	2	0	0	1	1	1	1	0	0	1	0	1	5	2
ACIN1	287	527	664	206	321	189	249	718	324	345	460	134	596	1168	130	771	1640	371
ACKR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR2	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	3	2	0
ACKR3	32	26	29	19	22	9	36	60	9	30	23	12	38	54	4	44	49	8
ACKR4	124	36	156	21	19	19	144	100	63	161	40	39	99	45	5	79	54	11
ACLY	820	887	1852	476	1096	850	715	1136	638	995	902	568	2359	1854	301	2084	3620	1303
ACMSD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	367	318	745	221	315	246	424	486	254	634	408	217	1167	781	100	1176	1248	372
ACO2	488	341	972	277	442	259	583	613	371	724	533	289	1568	1122	100	1531	1884	557
ACOD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT1	2	0	28	1	1	1	0	3	7	4	3	3	3	8	2	9	31	4
ACOT11	32	26	80	23	33	35	27	34	28	42	26	18	104	68	21	100	111	51
ACOT12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOT13	196	242	378	154	210	130	163	272	160	326	189	137	585	565	61	679	861	262
ACOT2	70	52	82	41	50	45	57	55	20	40	27	27	169	86	26	99	129	103
ACOT4	10	13	23	3	7	8	14	10	4	14	17	8	55	20	6	43	26	27
ACOT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	315	338	848	268	499	208	400	605	437	652	589	167	1205	1069	129	1509	2259	523
ACOT8	126	119	275	80	121	84	160	199	140	216	197	80	430	344	56	413	567	192
ACOT9	323	282	627	139	335	257	322	310	208	298	356	194	966	696	89	687	1269	420
ACOX1	223	215	376	169	234	173	173	200	130	300	192	122	588	443	75	693	804	252
ACOX2	91	63	109	46	56	30	86	84	36	112	40	32	282	166	17	253	180	62
ACOX3	145	117	209	65	163	103	159	191	76	146	126	56	324	290	43	252	506	136
ACOXL	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ACOXL-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP1	308	332	578	173	336	280	364	398	212	483	450	265	1075	835	72	1033	1580	442
ACP2	169	191	301	69	197	115	99	186	121	86	90	61	354	253	84	239	434	224
ACP3	1	1	0	0	0	0	1	0	0	2	0	0	0	2	0	3	2	0
ACP4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP5	37	19	51	16	20	14	36	44	11	27	12	10	71	36	18	61	33	15
ACP6	34	25	26	17	21	9	49	17	8	49	14	11	118	63	5	84	83	20
ACP7	1	1	8	1	4	1	3	0	17	2	16	0	4	0	2	3	7	0
ACR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0
ACRV1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ACSBG1	5	2	9	2	1	3	0	3	3	3	2	1	1	5	2	3	12	3
ACSBG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSF2	83	69	96	44	42	23	94	98	54	101	45	18	222	161	14	170	128	41
ACSF3	80	63	196	67	80	51	115	120	134	127	103	53	286	206	23	264	310	111
ACSL1	99	64	171	59	76	56	126	120	44	134	92	58	746	347	19	662	420	204
ACSL3	345	304	540	213	337	195	335	613	230	492	396	181	1415	836	112	1362	1321	408
ACSL3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSL4	359	259	649	187	357	197	549	396	209	619	472	200	992	592	70	913	1330	308
ACSL5	7	5	11	0	6	5	10	4	2	6	1	5	18	6	1	5	10	6
ACSL6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
ACSL6-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ACSM2A	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	0	1	1	0	0	0	0	3	0	1	0	3	0	2	0	3	5	2
ACSM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	13	11	15	4	11	4	14	14	6	4	9	3	61	20	4	37	38	18
ACSS2	102	104	139	43	73	51	105	118	81	115	84	64	272	197	23	232	337	83
ACSS3	34	34	36	18	34	24	25	50	10	37	29	21	91	103	2	84	94	39
ACTA1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTA2	792	1008	921	578	3358	1478	650	1122	349	1134	2949	1300	2259	2455	141	2879	12255	2782
ACTA2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ACTB	22566	10573	54237	9284	30716	16925	27506	20231	22168	32969	42203	18756	91460	46975	3538	81962	172317	32275
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTC1	22	45	1132	15	541	355	26	64	595	42	663	373	75	166	210	123	2079	500
ACTG1	23361	13847	59674	9965	33347	18350	31170	24706	25196	36241	45226	22925	90630	48647	4661	78739	162699	36889
ACTG1P17	3	0	1	1	0	0	0	0	0	0	1	0	2	2	0	0	3	1
ACTG1P20	8	6	16	1	3	3	5	10	2	16	4	6	20	14	2	16	36	5
ACTG1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG2	0	1	0	0	1	2	0	0	0	0	2	1	0	0	0	0	0	1
ACTL10	24	11	22	11	14	17	8	7	10	6	6	8	52	35	7	38	35	24
ACTL6A	56	66	153	45	83	57	79	85	49	109	107	68	235	170	18	268	485	104
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	3158	3922	7521	2152	5700	3328	2933	5760	3253	3928	5248	2516	7831	8257	1055	7796	18763	5778
ACTN1-AS1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0
ACTN2	0	1	0	0	0	0	5	1	0	1	2	0	0	0	0	1	4	0
ACTN3	0	0	5	0	1	0	0	2	1	0	1	0	0	3	2	0	2	0
ACTN4	46	44	113	15	121	31	39	106	69	52	106	17	128	141	20	131	390	77
ACTR10	299	353	668	187	341	204	327	382	197	483	328	238	1072	818	82	1058	1348	414
ACTR1A	1643	1369	3297	914	1689	1161	1910	1934	1467	2015	1517	1041	4727	3284	515	3922	5580	2053
ACTR1B	304	205	480	139	288	155	287	307	198	352	241	155	962	595	51	775	1039	272
ACTR2	1346	1353	2624	867	1598	985	1178	1484	604	1766	1209	771	3943	2650	524	3850	5407	1604
ACTR3	716	643	1780	518	1013	580	840	927	570	1239	1061	613	2315	1713	204	2493	4117	1064
ACTR3-AS1	21	4	16	4	16	3	10	9	8	17	5	0	28	20	0	26	35	2
ACTR3B	10	12	34	3	13	13	8	15	11	9	10	5	28	27	5	28	50	18
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	0	1	0	0	0	1	0	3	1	3	2	2	1	2	0	1	2	0
ACTR5	38	26	46	20	32	17	37	48	13	36	27	19	71	59	8	101	116	35
ACTR6	61	57	72	32	64	26	77	86	34	74	59	28	180	154	14	130	242	72
ACTR8	222	202	393	137	227	142	199	320	134	257	195	146	479	426	43	484	705	244
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	21	16	31	11	21	12	12	20	4	13	5	11	82	55	9	53	62	20
ACVR1	147	163	213	111	139	140	156	238	52	206	134	121	337	275	25	381	425	225
ACVR1B	59	53	144	37	58	45	86	115	47	103	90	51	302	249	23	251	367	152
ACVR1C	2	2	4	1	1	0	2	1	0	1	2	4	1	2	0	4	12	2
ACVR2A	14	20	50	7	23	28	40	50	17	55	40	43	77	53	10	96	99	54
ACVR2B	5	16	21	2	11	8	10	5	6	4	5	8	23	25	2	27	39	13
ACVR2B-AS1	1	0	0	0	0	0	1	0	0	2	5	0	2	1	0	1	0	0
ACVRL1	334	222	368	89	239	142	283	285	134	259	139	97	2098	806	146	973	1286	489
ACY1	0	0	0	0	0	0	0	4	2	5	0	1	0	0	0	1	2	0
ACY3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACYP1	16	25	66	8	27	22	20	46	27	28	21	16	92	131	8	101	107	35
ACYP2	111	128	254	63	124	64	102	172	98	154	127	68	319	276	26	293	407	117
ADA	155	144	181	101	135	80	173	199	53	219	115	94	328	291	36	330	408	158
ADA2	115	26	37	30	45	8	72	57	15	60	42	13	333	94	4	119	153	24
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAL	119	82	163	54	103	42	100	107	66	108	94	52	285	215	32	234	283	90
ADAM10	799	653	1111	459	645	528	715	781	302	957	538	435	2226	1391	155	1943	2269	931
ADAM11	1	1	3	2	4	6	4	3	0	0	1	4	5	8	1	3	8	4
ADAM12	312	720	1210	150	527	1198	356	1030	395	364	569	908	964	1261	173	680	1782	2164
ADAM15	163	159	274	103	128	119	110	169	100	171	95	57	403	255	119	302	467	217
ADAM17	182	171	355	107	188	91	309	313	161	338	240	162	570	435	65	503	649	319
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM19	177	273	781	84	220	267	201	364	314	178	161	147	328	516	60	367	570	348
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20	2	2	1	0	0	0	2	1	0	4	1	0	0	5	1	2	6	0
ADAM20P1	3	2	0	1	1	0	1	3	1	0	0	0	1	0	0	0	1	0
ADAM21	0	1	5	0	0	1	0	1	4	2	0	0	10	2	0	5	5	0
ADAM21P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM22	1	2	1	1	1	1	3	1	0	0	0	0	11	2	0	2	1	0
ADAM23	24	28	8	11	37	6	28	30	3	20	31	6	82	63	2	55	146	5
ADAM28	2	0	0	3	4	0	0	0	0	1	2	0	8	0	0	5	11	1
ADAM29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	0	3	2	0	0	0	1	1	1	1	0	0	1	7	0	5	1	0
ADAM33	220	285	219	83	155	157	227	326	89	218	158	145	562	734	27	369	565	289
ADAM3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	0	3	1	1	4	1	0	7	0	10	0	2	4	5	1	17	10	1
ADAM9	216	227	294	102	210	124	102	184	52	136	87	61	401	286	128	284	449	198
ADAMDEC1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ADAMTS1	207	274	726	160	473	279	400	790	423	648	1092	523	1279	523	78	1227	1367	466
ADAMTS10	18	35	23	7	11	27	14	53	8	18	12	17	57	70	5	33	36	39
ADAMTS12	150	114	192	83	71	79	155	185	67	157	67	50	407	294	36	300	177	151
ADAMTS13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS14	12	17	61	4	9	14	24	40	34	17	13	17	32	47	12	26	32	42
ADAMTS15	11	2	3	5	1	2	3	0	0	1	0	0	53	15	0	18	4	1
ADAMTS16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ADAMTS17	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
